Usuario,Nombre,Telefono,Inicio,Meses,Final,Anuncio
8444778834,Kelvin,6975763388,2024-06-03,3,2024-07-03,0
2055763296,Brianna,8431823440,2024-06-03,17,2024-08-03,0
1827332228,Chelsea,4700757244,2024-06-02,17,2024-09-02,0
5211216963,Aiden,9122858141,2023-10-07,11,2025-04-07,0
2291200190,Alfred,3705732918,2020-10-07,16,2150-04-07,0
5198078016,Deanna,3853939949,2020-10-07,13,2155-04-07,0
9753816838,Natalie,2454363728,2020-10-07,5,2155-04-07,0
2383994166,Agata,6627569170,2024-07-01,16,2155-02-21,0
2320863377,Antony,3800820914,2024-07-01,7,2024-07-31,0
2183206376,Maximilian,7471538809,2024-06-25,11,2024-07-25,0
8164606585,Savana,5996790369,2024-06-25,16,2024-07-25,0
3140229570,Annabella,5090337307,2024-06-23,2,2024-07-23,0
6368220132,Blake,8128488718,2024-06-22,16,2024-07-22,0
5201938073,Blake,6015178744,2024-06-15,1,2024-07-15,0
9140879999,Emma,6788897302,2024-06-15,9,2024-07-15,0
6309093399,Emma,6570503998,2024-06-11,15,2024-07-11,0
2774932101,Ada,9434564961,2024-06-11,1,2024-07-11,0
4658585821,Jack,4127589054,2024-06-09,18,2024-11-09,0
7068526855,Camila,4575233793,2024-06-04,17,2024-07-04,0
2113531898,Dominik,1237548467,2024-06-04,3,2024-07-04,0
6110982638,Sam,3664506876,2024-06-04,10,2024-08-04,0
2266617546,Kellan,4660983148,2024-06-03,8,2024-09-03,0
1888875356,Fiona,3398723664,2023-10-08,12,2025-04-08,0
2791641712,Fiona,4452559733,2020-10-08,12,2150-04-08,0
2311024457,Maya,3786899474,2020-10-08,6,2155-04-08,0
2821247258,Antony,6504130946,2020-10-08,1,2155-04-08,0
4266058073,Adele,6220988845,2024-07-02,8,2155-02-22,0
7101149173,Byron,7808302907,2024-07-02,16,2024-08-01,0
5028063206,Eddy,6443686060,2024-06-26,16,2024-07-26,0
5441103664,Carina,2230352057,2024-06-26,18,2024-07-26,0
5457102931,Penelope,4261883721,2024-06-24,1,2024-07-24,0
